20:03:46: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 50] Logger initialized
20:03:46: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (0.0, 0.0, 4.0)
20:03:46: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (0.0, 0.0, 1.0)
20:03:47: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (0.0, 0.0, 0.6666666666666666)
20:03:47: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (0.0, 0.0, 0.5)
20:03:48: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (0.0, 0.0, 0.4)
20:03:48: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (0.0, 0.0, 0.3333333333333333)
20:03:49: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (0.0, 0.0, 0.2857142857142857)
20:03:49: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (0.0, 2.5, 0.25)
20:03:50: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (0.0, 4.444444444444445, 0.2222222222222222)
20:03:51: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (0.0, 6.0, 0.2)
20:03:51: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (1.8181818181818181, 5.454545454545454, 0.18181818181818182)
20:03:52: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (3.3333333333333335, 5.0, 0.16666666666666666)
20:03:52: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (4.615384615384615, 4.615384615384615, 0.15384615384615385)
20:03:53: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (4.285714285714286, 2.857142857142857, 0.14285714285714285)
20:03:53: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (4.0, 1.3333333333333333, 0.13333333333333333)
20:03:54: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (3.75, 0.0, 0.125)
20:03:54: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (2.3529411764705883, 0.0, 0.11764705882352941)
20:03:55: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (1.1111111111111112, 0.0, 0.1111111111111111)
20:03:55: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (0.0, 0.0, 0.10526315789473684)
20:03:56: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (0.0, 1.0, 0.1)
20:03:56: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (0.0, 1.9047619047619047, 0.09523809523809523)
20:03:57: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (0.0, 2.727272727272727, 0.09090909090909091)
20:03:57: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (0.8695652173913043, 2.608695652173913, 0.08695652173913043)
20:03:58: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (1.6666666666666667, 2.5, 0.08333333333333333)
20:03:58: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (2.4, 2.4, 0.08)
20:03:59: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (2.3076923076923075, 1.5384615384615385, 0.07692307692307693)
20:03:59: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (2.2222222222222223, 0.7407407407407407, 0.07407407407407407)
20:04:00: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (2.142857142857143, 0.0, 0.07142857142857142)
20:04:00: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (1.3793103448275863, 0.0, 0.06896551724137931)
20:04:01: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (0.6666666666666666, 0.0, 0.06666666666666667)
20:04:01: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (0.0, 0.0, 0.06451612903225806)
